text,label
"The government announced a new public health campaign with free vaccination camps in 20 districts.",REAL
"Scientists at a national institute reported progress in low-cost solar panel efficiency.",REAL
"The city transport department launched 100 electric buses on major routes this week.",REAL
"A major bank introduced a new digital safety feature for online transactions.",REAL
"The education ministry released updated scholarship guidelines for rural students.",REAL
"A local hospital opened an emergency trauma center with 24/7 specialist support.",REAL
"State weather officials issued heavy rainfall alerts for coastal regions.",REAL
"The railway ministry confirmed additional festival special trains for holiday travel.",REAL
"A technology company unveiled a budget smartphone with improved battery life.",REAL
"Municipal authorities started a cleanliness drive in public markets and schools.",REAL
"Drinking hot oil every morning cures all diseases instantly, experts secretly confirm.",FAKE
"Aliens landed in the city center and signed a trade deal with local shopkeepers.",FAKE
"A viral message claims exams are cancelled forever across the country without notice.",FAKE
"Social media posts say a random herb can replace all prescribed medicines overnight.",FAKE
"A rumor says all ATM withdrawals will stop permanently next Monday nationwide.",FAKE
"An unverified post claims invisible towers can control human thoughts from space.",FAKE
"Forwarded message says moonlight charging can run cars without fuel forever.",FAKE
"Anonymous account reports that all newspapers will be shut down by midnight today.",FAKE
"A fabricated story says hospitals are banning stethoscopes due to secret new rules.",FAKE
"Message claims a celebrity won a Nobel Prize in mathematics this year.",FAKE
